# DAQ fotoacústico — ventana capturada
# fecha=20260624_200320  Fs_MHz=54.0  Ts_ns=18.519  bits=12  LSB_mV=2.4414  offset_code=2048
muestra,t_ns,t_us,codigo,mV,prom_mV
247,4574.1,4.5741,2033,-36.621,-42.191
248,4592.6,4.5926,2033,-36.621,-41.733
249,4611.1,4.6111,2033,-36.621,-43.335
250,4629.6,4.6296,2032,-39.062,-44.785
251,4648.1,4.6481,2030,-43.945,-40.665
252,4666.7,4.6667,2027,-51.270,-43.793
253,4685.2,4.6852,2030,-43.945,-43.640
254,4703.7,4.7037,2033,-36.621,-40.894
255,4722.2,4.7222,2033,-36.621,-42.725
256,4740.7,4.7407,2028,-48.828,-43.564
257,4759.3,4.7593,2030,-43.945,-44.556
258,4777.8,4.7778,2032,-39.062,-40.970
259,4796.3,4.7963,2027,-51.270,-40.970
260,4814.8,4.8148,2028,-48.828,-45.624
261,4833.3,4.8333,2029,-46.387,-43.259
262,4851.9,4.8519,2033,-36.621,-42.648
263,4870.4,4.8704,2029,-46.387,-42.038
264,4888.9,4.8889,2029,-46.387,-45.929
265,4907.4,4.9074,2030,-43.945,-43.488
266,4925.9,4.9259,2033,-36.621,-40.359
267,4944.4,4.9444,2030,-43.945,-43.335
268,4963.0,4.9630,2029,-46.387,-43.793
269,4981.5,4.9815,2028,-48.828,-44.022
